"StationName","StationLocation","DateTime","RecordId","RoadSurfaceTemperature","AirTemperature"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 14 05:01:00 AM","6584067","51.17","46.10"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 14 07:50:00 PM","5285026","49.02","47.70"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 14 10:25:00 PM","5285181","48.08","47.50"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 14 10:44:00 PM","5285200","47.92","47.29"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 12:23:00 AM","7011197","45.70","43.77"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 12:24:00 AM","7011198","45.69","43.76"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 12:25:00 AM","7011199","45.69","43.70"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 12:26:00 AM","7011200","45.66","43.71"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 12:27:00 AM","7011201","45.65","43.70"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 12:28:00 AM","7011202","45.63","43.69"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 12:29:00 AM","7011203","45.61","43.69"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 12:30:00 AM","7011204","45.60","43.63"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 12:16:00 AM","6585222","49.31","43.10"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 12:17:00 AM","6585223","49.31","43.09"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 12:18:00 AM","6585224","49.31","43.11"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 12:19:00 AM","6585225","49.31","43.12"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 12:20:00 AM","6585226","49.29","43.14"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 12:21:00 AM","6585227","49.27","43.20"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 12:22:00 AM","6585228","49.27","43.18"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 12:23:00 AM","6585229","49.27","43.14"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 12:24:00 AM","6585230","49.27","43.01"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 12:25:00 AM","6585231","49.26","42.90"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 12:26:00 AM","6585232","49.25","42.64"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 12:27:00 AM","6585233","49.24","42.60"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 12:28:00 AM","6585234","49.23","42.65"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 12:29:00 AM","6585235","49.23","42.66"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 12:30:00 AM","6585236","49.22","42.61"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 02:32:00 PM","7012046","60.61","46.23"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 02:33:00 PM","7012047","60.33","46.27"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 02:34:00 PM","7012048","60.07","46.39"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 02:35:00 PM","7012049","59.79","46.12"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 02:36:00 PM","7012050","59.52","45.89"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 02:37:00 PM","7012051","59.26","45.73"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 02:38:00 PM","7012052","58.99","45.68"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 02:39:00 PM","7012053","58.69","45.85"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 02:40:00 PM","7012054","58.41","46.09"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 02:26:00 PM","6586072","53.48","44.94"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 02:27:00 PM","6586073","53.50","45.31"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 02:28:00 PM","6586074","53.53","45.56"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 02:29:00 PM","6586075","53.54","45.71"
